example;introduction;goal;how
1;I’m looking to improve my health and fitness and still haven’t found the way that works for me.;For one month earlier this year, I walked 5 miles a day.;I achieved this because my sister really motivated me and joined in.
3;"I'm Patricia and I really like playing tennis and walking at night. I set a challenge for me to walk at least 6.000 steps per day.
";I walked every day at least 6.000 steps.;I achieved this by just going for walks alone, with my boyfriend or my dog.
5;I am an almost 50-year-old woman and work with teenagers. I have 4 children and know I don’t live a healthy lifestyle. This is mostly due to time.;I walked 10.000 steps each day for a whole week.;I achieved this by walking with a new student.
6;I'm looking to lose the weight I put on during lockdown.  I've got my exercise machines ready and waiting for me at home!;I walked more than 10.000 steps per day for 12 weeks.;I achieved this because I walked the dog more often and had a very physical job.
7;I'm 51, not really physically fit but trying. I've set myself walking and jogging goals through lockdown which I've achieved.;I walked and ran more during lockdown.;I achieved this by walking more through lockdown, especially in the morning.
9;I had been a bit of a couch potato before early retirement, however, during the last year I have taken up walking.;I reached over 10.000 steps in 24 hours.;I achieved this by walking daily along beaches and in forests.
10;Hi, my name is Jennifer, I am 57 years old and I was almost permanently disabled because I had problems with my knees and my spine.  But this past year I have taken up swimming and I lost some weight so now I'm actually able to walk 3 days a week.;I am now able to walk half a mile 3 days a week.;I achieved this with my swimming and by losing weight.
11;I seem to be very busy doing things to keep life ticking over and not having time for myself. This involves physical activity at work and home, however not so much for leisurely physical activity.;I have designated a lot more time for walking with my dog in town over the last year.;I achieved this by purposefully making time to do it.
12;"Hello, I am a happy and lucky person who at the age of 65 years old is still working full time. My main passion when I was younger was running.
Now I love to walk; I walk everywhere with love for the environment and the people around me. I also enjoy swimming which I participate in whenever I can.";I have walked to all four corners of my town about 30 miles in all.;I achieved this with passion, determination, and the benefits of being outside with nature along with the need to prove to myself I can do it!
13;I'm an artist who loves being in nature and take endless walks in the city. I enjoy hiking in the mountains as well as cycling.;I walked between 30 min and 1 hour per day.;I achieved this by realizing that the more you walk, the less it seems the next time.
14;I don't like running that much, but I love walking long distances. I do it more often now.;I walked 10 km in under 4 hours.;I achieved this with good shoes and lots of water.
16;I do not have any weight issues, but I would love to be more active. I do not like going to the gym, so walking is my main activity to stay fit.;I walked 50 km over 2 days.;I achieved this with perseverance and teamwork.
17;Hi, my name is Karen, wife and mother of two very active young children who definitely keep me on my toes. From when they wake in the morning until it’s time for bed it’s go go go!;I’ve actively made it a priority to walk at least every other day as part of my well-being and mental health.;I achieved this because it is set on the family calendar that we walk after dinner if the weather permits so we are all on board with the schedule.
